price,ttr,cost,n,win,fill,edge_c,ci_lo,ci_hi,t,train_c,test_c,n_test
"[0.95,0.98)","[2,10)",score (harness),9452,0.9719636055861194,0.9794756369022428,-0.8827211153005587,-1.201387119980954,-0.5640551106201634,-5.4292003834024465,-0.6570153499069465,-1.5032552921919213,2521
"[0.95,0.98)","[2,10)",real (fee=0),9452,0.9719636055861194,0.9794756369022428,-0.7512031316123461,-1.0697576900657522,-0.43264857315894,-4.62191183365146,-0.526163973452593,-1.36990460134866,2521
"[0.95,0.98)","[2,10)","real (fee=0, no slip)",9452,0.9719636055861194,0.9746026237833262,-0.2639018197206924,-0.5824707312539017,0.054667091812516874,-1.6236300640233698,-0.03873899870148449,-0.8829432764775866,2521
"[0.95,0.98)","[5,15)",score (harness),15493,0.9734073452526948,0.9784879923191117,-0.6531103918558391,-0.9014026600899915,-0.4048181236216867,-5.155508286144083,-0.5268787245692604,-0.9890023590850838,4232
"[0.95,0.98)","[5,15)",real (fee=0),15493,0.9734073452526948,0.9784879923191117,-0.5080647066416979,-0.7563225564009455,-0.2598068568824503,-4.011105904739776,-0.3820886688571063,-0.8432764650283442,4232
"[0.95,0.98)","[5,15)","real (fee=0, no slip)",15493,0.9734073452526948,0.9736198928548377,-0.021254760214288487,-0.26951582085447756,0.22700630042590056,-0.16780144426351706,0.10477755083918136,-0.35661625708884476,4232
"[0.95,0.98)","[10,30)",score (harness),42096,0.9709948688711516,0.9772671949828962,-0.7834944801645004,-0.9423351986955116,-0.6246537616334892,-9.667678273999442,-0.9069031105225189,-0.5275945749244505,13696
"[0.95,0.98)","[10,30)",real (fee=0),42096,0.9709948688711516,0.9772671949828962,-0.6272326111744472,-0.7860752088506163,-0.46839001349827786,-7.7394436133920115,-0.7470200352112564,-0.37884163259344655,13696
"[0.95,0.98)","[10,30)","real (fee=0, no slip)",42096,0.9709948688711516,0.9724051691372102,-0.14103002660585118,-0.2998726817079769,0.017812628496274505,-1.7401734614253563,-0.2610492957746457,0.10784170560747866,13696
"[0.95,0.98)","[30,60)",score (harness),87290,0.9727345629510826,0.9770055056707526,-0.586314501000624,-0.6936601923802266,-0.4789688096210214,-10.705183329443134,-0.6879773203430559,-0.4548887644384314,38072
"[0.95,0.98)","[30,60)",real (fee=0),87290,0.9727345629510826,0.9770055056707526,-0.4270942719669951,-0.5344423412467164,-0.3197462026872739,-7.79789889908376,-0.5256507476939217,-0.2996842955452712,38072
"[0.95,0.98)","[30,60)","real (fee=0, no slip)",87290,0.9727345629510826,0.9721447817619431,0.05897811891396718,-0.04836981177603769,0.16632604960397207,1.0768254984647412,-0.039735462635618723,0.1865911956293361,38072
"[0.95,0.98)","[60,120)",score (harness),181093,0.9725279276393897,0.9762227520942278,-0.5354117067410733,-0.6105122791579346,-0.46031113432421195,-13.973098054899523,-0.7245337228800875,-0.36763543742686117,95962
"[0.95,0.98)","[60,120)",real (fee=0),181093,0.9725279276393897,0.9762227520942278,-0.36948244548380066,-0.4445857424995729,-0.29437914846802843,-9.642350136584463,-0.5557989627750057,-0.20419502511409612,95962
"[0.95,0.98)","[60,120)","real (fee=0, no slip)",181093,0.9725279276393897,0.9713659224818189,0.1162005157570997,0.041097488907980234,0.19130354260621918,3.032485313539804,-0.07029519211567803,0.2816469018986706,95962
"[0.95,0.98)","[120,300)",score (harness),115076,0.9738520629844625,0.97432559673607,-0.22659677628799996,-0.3185799971947614,-0.13461355538123848,-4.828288423295858,0.042743382919261136,-0.40763497423406553,68819
"[0.95,0.98)","[120,300)",real (fee=0),115076,0.9738520629844625,0.97432559673607,-0.04735337516075178,-0.13933644680064455,0.04462969647914099,-1.008999897792229,0.2239070735240187,-0.22968230430548556,68819
"[0.95,0.98)","[120,300)","real (fee=0, no slip)",115076,0.9738520629844625,0.9694782057075325,0.4373857276930057,0.3454026651787289,0.5293687902072824,9.319762251862967,0.7085176297641466,0.25514320173208244,68819
