fixture,event_id,ttr,move_bps,p_fair,side,p_win,ask,edge,won,res_outcome,btc,first_btc,ttr_bucket,move_bucket,edge_bucket,ask_bucket
20260612_040132_20260612_050208_BTC5M.parquet,582545,55.89661979675293,6.449171340278268,0.14938956048436366,DOWN,0.8506104395156363,0.47,0.38061043951563633,True,DOWN,63708.57,63749.67,"(40, 80]","(6, 10]","(0.35, 0.4]","(0.3, 0.5]"
20260612_110542_20260612_120618_BTC5M.parquet,583427,211.1333532333374,8.454829923673955,0.23796383610959795,DOWN,0.7620361638904021,0.34,0.42203616389040205,True,DOWN,63830.0,63883.99,"(200, 240]","(6, 10]","(0.4, 0.5]","(0.3, 0.5]"
20260612_140729_20260612_150805_BTC5M.parquet,583870,100.4010877609253,6.981813015650707,0.1979020690453579,DOWN,0.8020979309546421,0.06,0.742097930954642,False,UP,63500.01,63544.36,"(80, 120]","(6, 10]","(0.5, 1.0]","(0.0, 0.1]"
20260612_140729_20260612_150805_BTC5M.parquet,583930,195.4386808872223,6.586682769766209,0.7300537622095221,UP,0.7300537622095221,0.44,0.2900537622095221,True,UP,63725.28,63683.32,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.3, 0.5]"
20260612_140729_20260612_150805_BTC5M.parquet,583992,90.05926442146301,6.56185998433185,0.19964300925357523,DOWN,0.8003569907464247,0.44,0.36035699074642474,False,UNKNOWN,63970.01,64012.0,"(80, 120]","(6, 10]","(0.35, 0.4]","(0.3, 0.5]"
20260612_160840_20260612_170916_BTC5M.parquet,584225,114.64872336387634,15.042475331208857,0.9482930625073428,UP,0.9482930625073428,0.51,0.4382930625073428,True,UP,63853.99,63758.01,"(80, 120]","(15, 20]","(0.4, 0.5]","(0.5, 0.7]"
20260612_180951_20260612_191027_BTC5M.parquet,584542,53.466904640197754,7.308864126410838,0.8887622960275426,UP,0.8887622960275426,0.62,0.26876229602754265,True,UP,63781.5,63734.9,"(40, 80]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260613_011400_20260613_021436_BTC5M.parquet,585640,167.91834211349487,7.657131043712146,0.775632678338386,UP,0.775632678338386,0.52,0.255632678338386,True,UP,63742.78,63693.99,"(160, 200]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260613_111957_20260613_122034_BTC5M.parquet,586973,43.82874369621277,6.289350673162852,0.12802020562057756,DOWN,0.8719797943794224,0.62,0.2519797943794224,True,DOWN,63929.26,63969.48,"(40, 80]","(6, 10]","(0.25, 0.3]","(0.5, 0.7]"
20260613_132109_20260613_142145_BTC5M.parquet,587337,60.617860555648804,6.039771046289783,0.8347034734647527,UP,0.8347034734647527,0.46,0.3747034734647527,False,DOWN,64194.0,64155.24,"(40, 80]","(6, 10]","(0.35, 0.4]","(0.3, 0.5]"
20260613_222631_20260613_232707_BTC5M.parquet,588824,133.01431107521057,13.271906328388333,0.9159180193102013,UP,0.9159180193102013,0.63,0.28591801931020133,True,UP,64524.87,64439.29,"(120, 160]","(10, 15]","(0.25, 0.3]","(0.5, 0.7]"
20260614_043006_20260614_053041_BTC5M.parquet,589634,56.638999700546265,6.524339754706596,0.8589074723394177,UP,0.8589074723394177,0.52,0.33890747233941765,False,DOWN,64380.0,64338.01,"(40, 80]","(6, 10]","(0.3, 0.35]","(0.5, 0.7]"
